SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
102208,1,Revolving loans,M,Y,Y,0,180000.0,157500.0,7875.0,157500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018029,-12184,-3268,-39.0,-1100,5.0,1,1,0,1,0,0,Drivers,2.0,3,3,WEDNESDAY,10,0,0,0,0,0,0,Transport: type 4,0.10475522064540058,0.557698267478408,,0.1031,0.08199999999999999,0.9752,0.66,0.0659,0.0,0.1724,0.1667,0.2083,0.1125,0.0841,0.0887,0.0,0.0,0.105,0.0851,0.9752,0.6733,0.0665,0.0,0.1724,0.1667,0.2083,0.115,0.0918,0.0924,0.0,0.0,0.1041,0.08199999999999999,0.9752,0.6645,0.0663,0.0,0.1724,0.1667,0.2083,0.1144,0.0855,0.0903,0.0,0.0,reg oper account,block of flats,0.1058,Panel,No,0.0,0.0,0.0,0.0,-216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
102955,1,Revolving loans,F,Y,Y,2,94500.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.018801,-7763,-1167,-5306.0,-430,37.0,1,1,1,1,1,0,,3.0,2,2,SATURDAY,12,0,0,0,0,0,0,Government,,0.7606039583623122,0.19294222771695085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-799.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
102994,1,Revolving loans,F,N,Y,0,54000.0,247500.0,12375.0,247500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.009657,-21622,365243,-9036.0,-3958,,1,0,0,1,1,0,,2.0,2,2,THURSDAY,12,0,0,0,0,0,0,XNA,0.6181957832358653,0.5496899429045514,0.656158373001177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,10.0,0.0,-1006.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
103059,1,Revolving loans,F,N,Y,1,135000.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.010032,-11935,-1357,-11742.0,-2469,,1,1,0,1,0,0,Sales staff,3.0,2,2,MONDAY,4,0,0,0,0,0,0,Trade: type 7,,0.4585162566086973,0.31547215492577346,0.0278,0.0183,0.9866,0.8164,0.0043,0.0,0.1034,0.0833,0.125,0.0494,0.0227,0.0265,0.0039,0.0215,0.0284,0.019,0.9866,0.8236,0.0044,0.0,0.1034,0.0833,0.125,0.0505,0.0248,0.0276,0.0039,0.0227,0.0281,0.0183,0.9866,0.8189,0.0044,0.0,0.1034,0.0833,0.125,0.0502,0.0231,0.0269,0.0039,0.0219,reg oper account,block of flats,0.0278,"Stone, brick",No,0.0,0.0,0.0,0.0,-206.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
103113,1,Revolving loans,M,Y,N,4,45000.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.01885,-12449,-4636,-909.0,-4717,5.0,1,1,1,1,1,0,Laborers,6.0,2,2,WEDNESDAY,16,0,0,0,0,0,0,Agriculture,,0.4994497273014801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1097.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
103134,1,Revolving loans,M,N,Y,0,112500.0,337500.0,16875.0,337500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792000000000004,-12062,-3750,-1785.0,-1783,,1,1,0,1,0,0,,2.0,2,2,THURSDAY,17,0,0,0,0,0,0,Business Entity Type 3,,0.010290339586338614,0.722392890081304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1447.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
103407,1,Revolving loans,F,N,N,1,135000.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,Municipal apartment,0.005002,-9310,-210,-2281.0,-1963,,1,1,0,1,0,0,,3.0,3,3,THURSDAY,17,0,0,0,1,1,0,Kindergarten,,0.2338609767380701,0.1654074596555436,0.0773,0.071,0.9851,0.7959999999999999,0.0452,0.0,0.1724,0.1667,0.2083,0.0183,0.063,0.0687,0.0,0.0,0.0788,0.0737,0.9851,0.804,0.0456,0.0,0.1724,0.1667,0.2083,0.0188,0.0689,0.0716,0.0,0.0,0.0781,0.071,0.9851,0.7987,0.0455,0.0,0.1724,0.1667,0.2083,0.0187,0.0641,0.0699,0.0,0.0,org spec account,block of flats,0.0787,"Stone, brick",No,4.0,2.0,4.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,2.0
103422,1,Revolving loans,F,N,Y,1,112500.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020713,-12301,-1780,-1165.0,-2220,,1,1,0,1,0,0,Sales staff,3.0,3,3,SATURDAY,9,0,0,0,0,0,0,Self-employed,0.4647673481408471,0.295442094908811,0.4614823912998385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,4.0,0.0,-905.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,3.0
103439,1,Revolving loans,M,N,Y,0,315000.0,337500.0,16875.0,337500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.0105,-11077,-797,-428.0,-3450,,1,1,1,1,1,0,Accountants,2.0,3,3,THURSDAY,10,0,0,0,0,0,0,Government,,0.7011036687955411,0.4722533429586386,0.0495,0.0233,0.9995,,,,0.069,0.0833,,0.0781,,0.0413,,,0.0504,0.0242,0.9995,,,,0.069,0.0833,,0.0799,,0.043,,,0.05,0.0233,0.9995,,,,0.069,0.0833,,0.0795,,0.0421,,,,block of flats,0.0364,"Stone, brick",No,4.0,0.0,4.0,0.0,-301.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
103810,1,Revolving loans,F,N,Y,1,81000.0,135000.0,6750.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.001417,-9571,-2609,-1506.0,-1422,,1,1,0,1,0,0,Medicine staff,3.0,2,2,THURSDAY,9,0,0,0,0,0,0,Other,0.4244899245804851,0.7372746468745458,0.20208660168203949,0.0577,,0.9806,,,,0.1379,0.1667,,,,0.0337,,,0.0588,,0.9806,,,,0.1379,0.1667,,,,0.0351,,,0.0583,,0.9806,,,,0.1379,0.1667,,,,0.0343,,,,block of flats,0.0396,"Stone, brick",No,0.0,0.0,0.0,0.0,-1073.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
104107,1,Revolving loans,M,Y,Y,0,112500.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.020246,-18358,-299,-7657.0,-1905,1.0,1,1,0,1,0,1,Core staff,2.0,3,3,THURSDAY,15,0,0,0,0,0,0,Business Entity Type 3,,0.2660754294409963,0.326475210066026,0.1041,0.0912,0.9771,0.6872,0.0151,0.0,0.2241,0.1667,0.2083,0.096,0.0836,0.0917,0.0058,0.0541,0.0945,0.105,0.9767,0.6929,0.0155,0.0,0.2069,0.1667,0.2083,0.0876,0.0826,0.0903,0.0,0.0,0.0937,0.1011,0.9767,0.6847,0.0153,0.0,0.2069,0.1667,0.2083,0.0986,0.077,0.0889,0.0,0.0,reg oper account,block of flats,0.0681,Panel,No,3.0,1.0,3.0,1.0,-183.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0
104315,1,Revolving loans,F,Y,Y,0,157500.0,270000.0,13500.0,270000.0,Unaccompanied,State servant,Secondary / secondary special,Married,With parents,0.019101,-14422,-1123,-8452.0,-1163,2.0,1,1,0,1,0,0,Cooking staff,2.0,2,2,FRIDAY,15,0,0,0,0,0,0,Industry: type 11,,0.16252816518846247,0.2366108235287817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-621.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
104806,1,Revolving loans,F,N,Y,0,315000.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010006,-12036,-522,-1858.0,-129,,1,1,0,1,0,0,Managers,2.0,2,2,FRIDAY,14,0,0,0,0,0,0,Business Entity Type 3,0.5499074917776887,0.1923160541736026,,0.0247,0.0593,0.9881,0.8368,0.0049,0.0,0.1034,0.0417,0.0833,0.0,0.0202,0.0195,0.0,0.0,0.0252,0.0616,0.9881,0.8432,0.0049,0.0,0.1034,0.0417,0.0833,0.0,0.022000000000000002,0.0203,0.0,0.0,0.025,0.0593,0.9881,0.8390000000000001,0.0049,0.0,0.1034,0.0417,0.0833,0.0,0.0205,0.0198,0.0,0.0,reg oper account,block of flats,0.018000000000000002,Others,No,3.0,1.0,3.0,0.0,-203.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
105885,1,Revolving loans,F,N,Y,2,81000.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.007120000000000001,-10328,-523,-2817.0,-381,,1,1,0,1,0,0,Sales staff,4.0,2,2,SATURDAY,13,0,0,0,0,0,0,Trade: type 3,0.2239893553320016,0.06589377625835477,0.6413682574954046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-613.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
105917,1,Revolving loans,F,N,Y,2,135000.0,180000.0,9000.0,180000.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.018209,-12650,-841,-980.0,-1968,,1,1,0,1,0,0,Sales staff,4.0,3,3,WEDNESDAY,12,0,0,0,0,0,0,Business Entity Type 3,,0.3695439500978631,0.2940831009471255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-470.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
106066,1,Revolving loans,M,N,Y,0,81000.0,202500.0,10125.0,202500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0105,-15331,-1118,-2887.0,-4126,,1,1,0,1,0,0,Laborers,2.0,3,3,FRIDAY,11,0,0,0,0,0,0,Industry: type 11,,0.5880640610492122,0.21885908222837447,0.0598,0.0557,0.9935,0.9252,0.0078,0.0264,0.0803,0.2638,0.1667,0.0082,0.0504,0.0566,0.0,0.0035,0.0473,0.0536,0.9916,0.9281,0.0079,0.0,0.1034,0.1667,0.125,0.0,0.0551,0.0438,0.0,0.0,0.0625,0.0542,0.9945,0.9262,0.0079,0.0,0.1034,0.1667,0.1667,0.0098,0.0513,0.0466,0.0,0.0,org spec account,block of flats,0.0392,Panel,No,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
106508,1,Revolving loans,M,Y,Y,0,225000.0,202500.0,10125.0,202500.0,Unaccompanied,Working,Incomplete higher,Single / not married,House / apartment,0.00733,-10181,-1502,-10181.0,-2840,8.0,1,1,0,1,0,0,Core staff,1.0,2,2,WEDNESDAY,15,0,0,0,0,0,0,Government,0.3541098026984276,0.4501892931304269,0.2176285202779586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
106518,1,Revolving loans,F,N,N,2,45000.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.009657,-14874,-865,-3843.0,-3946,,1,1,1,1,1,0,,3.0,2,2,TUESDAY,9,0,0,0,0,1,1,Business Entity Type 3,,0.661754714704787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-641.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
