,AGE
525,27
526,55
527,56
528,25
529,36
530,47
531,39
532,22
533,50
534,36
535,30
536,47
537,49
538,48
539,65
540,30
541,41
542,42
543,47
544,26
545,47
546,44
547,36
548,34
549,33
550,57
551,62
552,36
553,48
554,32
555,31
556,59
557,63
558,34
559,33
560,41
561,46
562,34
563,31
564,45
565,35
566,60
567,33
568,32
569,54
570,55
571,52
572,24
573,51
574,40
575,34
576,46
577,47
578,55
579,21
580,29
581,55
582,40
583,62
584,54
585,33
586,57
587,44
588,40
589,61
590,51
591,29
592,54
593,46
594,45
595,45
596,47
597,55
598,54
599,35
600,33
601,35
602,59
603,33
604,43
605,23
606,44
607,39
608,47
609,41
610,56
611,39
612,47
613,62
614,68
615,48
616,47
617,61
618,46
619,48
620,23
621,31
622,41
623,35
624,59
625,52
626,32
627,29
628,44
629,33
630,24
631,53
632,44
633,39
634,40
635,31
636,28
637,46
638,48
639,46
640,37
641,28
642,39
643,38
644,39
645,56
646,66
647,29
648,29
649,23
650,55
651,54
652,48
653,45
654,46
655,36
656,29
657,53
658,50
659,36
660,44
661,31
662,29
663,39
664,38
665,55
666,38
667,46
668,63
669,52
670,22
671,33
672,50
673,56
674,28
675,55
676,42
677,26
678,60
679,58
680,45
681,45
682,27
683,44
684,25
685,35
686,58
687,37
688,52
689,45
690,58
691,58
692,26
693,52
694,32
695,33
696,32
697,49
698,38
699,27
700,51
701,34
702,55
703,37
704,41
705,59
706,62
707,61
708,52
709,32
710,57
711,49
712,59
713,31
714,44
715,58
716,23
717,29
718,57
719,28
720,41
721,40
722,44
723,53
724,27
725,43
726,45
727,40
728,23
729,31
730,52
731,31
732,27
733,64
734,34
735,40
736,58
737,38
738,48
739,54
740,36
741,34
742,46
743,46
744,64
745,40
746,38
747,28
748,38
749,31
750,64
751,25
752,37
753,42
754,67
755,52
756,45
757,51
758,21
759,54
760,59
761,28
762,36
763,46
764,46
765,51
766,62
767,21
768,40
769,24
770,30
771,33
772,41
773,67
774,51
775,33
776,55
777,59
778,50
779,44
780,32
781,43
782,38
783,22
784,61
785,38
786,47
787,42
788,59
789,47
790,48
791,36
792,41
793,44
794,48
795,55
796,23
797,28
798,60
799,28
800,27
801,41
802,63
803,37
804,46
805,59
806,33
807,40
808,32
809,41
810,46
811,39
812,43
813,40
814,49
815,39
816,31
817,33
818,60
819,40
820,63
821,45
822,52
823,52
824,41
825,44
826,32
827,40
828,63
829,26
830,48
831,37
832,30
833,25
834,54
835,61
836,46
837,27
838,45
839,40
840,39
841,32
842,28
843,56
844,35
845,36
846,50
847,30
848,23
849,30
850,48
851,48
852,68
853,43
854,30
855,56
856,49
857,49
858,30
859,58
860,47
861,47
862,23
863,32
864,39
865,40
866,34
867,39
868,54
869,54
870,32
871,27
872,31
873,33
874,39
875,41
876,62
877,41
878,38
879,30
880,53
881,47
882,38
883,38
884,50
885,61
886,58
887,44
888,58
889,60
890,57
891,49
892,37
893,56
894,43
895,58
896,58
897,31
898,59
899,30
900,61
901,52
902,46
903,63
904,41
905,55
906,41
907,43
908,43
909,37
910,45
911,29
912,53
913,21
914,30
915,50
916,41
917,33
918,38
919,48
920,41
921,38
922,53
923,24
924,33
925,39
926,51
927,55
928,41
929,48
930,38
931,43
932,44
933,43
934,44
935,37
936,24
937,57
938,39
939,28
940,29
941,36
942,23
943,48
944,53
945,55
946,24
947,64
948,58
949,24
950,30
951,29
952,53
953,36
954,32
955,62
956,28
957,53
958,30
959,36
960,37
961,27
962,42
963,50
964,33
965,27
966,39
967,51
968,27
969,41
970,42
971,33
972,55
973,59
974,45
975,63
976,66
977,38
978,35
979,65
980,41
981,29
982,24
983,56
984,32
985,45
986,30
987,28
988,49
989,36
990,61
991,33
992,37
993,55
994,48
995,58
996,38
997,57
998,44
999,48
1000,63
1001,28
1002,48
1003,63
1004,22
1005,45
1006,28
1007,54
1008,27
1009,27
1010,58
1011,53
1012,44
1013,37
1014,27
1015,34
1016,54
1017,54
1018,43
1019,54
1020,39
1021,42
1022,30
1023,28
1024,51
1025,43
1026,52
1027,38
1028,58
1029,42
1030,28
1031,57
1032,22
1033,27
1034,29
1035,34
1036,32
1037,31
1038,35
1039,66
1040,49
1041,37
1042,51
1043,32
1044,38
1045,42
1046,32
1047,49
1048,56
1049,56
1050,29
1051,26
1052,28
1053,24
1054,63
1055,30
1056,63
1057,42
1058,25
1059,32
1060,38
1061,36
1062,32
1063,39
1064,57
1065,63
1066,21
1067,25
1068,52
1069,32
1070,44
1071,23
1072,55
1073,58
1074,31
1075,49
1076,60
1077,40
1078,31
1079,63
1080,29
1081,22
1082,53
1083,37
1084,51
1085,36
1086,65
1087,25
1088,59
1089,22
1090,30
1091,53
1092,62
1093,58
1094,58
1095,63
1096,51
1097,30
1098,43
1099,53
1100,28
1101,51
1102,56
1103,42
1104,58
1105,33
1106,52
1107,53
1108,29
1109,57
1110,45
1111,45
1112,44
1113,44
1114,26
1115,25
1116,29
1117,60
1118,31
1119,61
1120,58
1121,55
1122,53
1123,44
1124,28
1125,54
1126,65
1127,52
1128,24
1129,27
1130,47
1131,45
1132,64
1133,41
1134,56
1135,63
1136,54
1137,41
1138,27
1139,61
1140,59
1141,32
1142,22
1143,22
1144,26
1145,30
1146,54
1147,41
1148,56
1149,52
1150,24
1151,49
1152,57
1153,29
1154,38
1155,62
1156,38
1157,26
1158,57
1159,26
1160,55
1161,28
1162,33
1163,50
1164,36
1165,45
1166,42
1167,56
1168,45
1169,41
1170,37
1171,52
1172,23
1173,28
1174,33
1175,60
1176,49
1177,31
1178,47
1179,49
1180,33
1181,54
1182,42
1183,42
1184,60
1185,54
1186,41
1187,57
1188,32
1189,41
1190,53
1191,32
1192,39
1193,33
1194,43
1195,41
1196,35
1197,51
1198,66
1199,59
1200,63
1201,60
1202,46
1203,23
1204,47
1205,41
1206,31
1207,24
1208,53
1209,41
1210,45
1211,60
1212,38
1213,36
1214,58
1215,64
1216,29
1217,39
1218,26
1219,52
1220,31
1221,55
1222,32
1223,27
1224,23
1225,22
1226,38
1227,34
1228,37
1229,28
1230,55
1231,60
1232,26
1233,45
1234,50
1235,24
1236,47
1237,46
1238,59
1239,27
1240,38
1241,48
1242,24
1243,31
1244,61
1245,59
1246,49
1247,36
1248,36
1249,60
1250,44
1251,43
1252,62
1253,49
1254,35
1255,51
1256,45
1257,39
1258,31
1259,29
1260,50
1261,52
1262,32
1263,51
1264,38
1265,57
1266,42
1267,39
1268,41
1269,67
1270,32
1271,38
1272,48
1273,34
1274,61
1275,61
1276,32
1277,22
1278,48
1279,53
1280,62
1281,43
1282,61
1283,48
1284,42
1285,50
1286,28
1287,27
1288,48
1289,29
1290,56
1291,28
1292,40
1293,38
1294,47
1295,46
1296,54
1297,33
1298,52
1299,65
1300,55
1301,37
1302,36
1303,40
1304,43
1305,59
1306,32
1307,54
1308,38
1309,32
1310,39
1311,29
1312,39
1313,60
1314,27
1315,61
1316,44
1317,38
1318,44
1319,33
1320,51
1321,50
1322,34
1323,47
1324,41
1325,30
1326,42
1327,27
1328,45
1329,29
1330,46
1331,40
1332,27
1333,61
1334,38
1335,55
1336,49
1337,60
1338,61
1339,31
1340,50
1341,59
1342,42
1343,49
1344,49
1345,31
1346,58
1347,62
1348,46
1349,37
1350,24
1351,63
1352,61
1353,45
1354,58
1355,26
1356,47
1357,50
1358,27
1359,28
1360,54
1361,35
1362,27
1363,34
1364,55
1365,48
1366,55
1367,51
1368,44
1369,66
1370,44
1371,50
1372,60
1373,60
1374,60
1375,33
1376,30
1377,38
1378,40
1379,56
1380,55
1381,43
1382,63
1383,48
1384,38
1385,28
1386,57
1387,44
1388,31
1389,53
1390,29
1391,33
1392,34
1393,37
1394,54
1395,58
1396,62
1397,62
1398,29
1399,40
1400,26
1401,47
1402,39
1403,43
1404,50
1405,36
1406,55
1407,42
1408,31
1409,61
1410,53
1411,48
1412,55
1413,35
1414,36
1415,59
1416,38
1417,24
1418,43
1419,46
1420,31
1421,43
1422,53
1423,22
1424,40
1425,46
1426,25
1427,50
1428,36
1429,41
1430,46
1431,26
1432,27
1433,41
1434,37
1435,67
1436,59
1437,53
1438,31
1439,54
1440,58
1441,54
1442,46
1443,45
1444,34
1445,33
1446,36
1447,49
1448,36
1449,43
1450,47
1451,64
1452,66
1453,40
1454,40
1455,53
1456,41
1457,34
1458,40
1459,54
1460,46
1461,38
1462,58
1463,46
1464,32
1465,25
1466,51
1467,34
1468,48
1469,21
1470,44
1471,37
1472,41
1473,46
1474,64
1475,33
1476,22
1477,36
1478,42
1479,45
1480,38
1481,38
1482,51
1483,59
1484,36
1485,64
1486,38
1487,49
1488,57
1489,61
1490,43
1491,43
1492,50
1493,31
1494,30
1495,49
1496,34
1497,56
1498,57
1499,27
1500,55
1501,49
1502,56
1503,59
1504,37
1505,45
1506,62
1507,62
1508,38
1509,40
1510,46
1511,54
1512,43
1513,42
1514,44
1515,36
1516,22
1517,29
1518,22
1519,53
1520,51
1521,34
1522,47
1523,53
1524,30
1525,37
1526,35
1527,38
1528,32
1529,50
1530,45
1531,33
1532,62
1533,38
1534,45
1535,22
1536,33
1537,41
1538,33
1539,37
1540,37
1541,25
1542,59
1543,57
1544,63
1545,58
1546,56
1547,22
1548,48
1549,44
1550,39
1551,30
1552,31
1553,36
1554,35
1555,50
1556,30
1557,42
1558,43
1559,52
1560,44
1561,37
1562,56
1563,46
1564,63
1565,31
1566,50
1567,41
1568,33
1569,32
1570,50
1571,60
1572,34
1573,66
1574,67
1575,38
1576,34
1577,27
1578,50
1579,55
1580,31
1581,60
1582,55
1583,36
1584,57
1585,51
1586,59
1587,49
1588,32
1589,47
1590,43
1591,41
1592,27
1593,58
1594,33
1595,60
1596,34
1597,27
1598,49
1599,56
1600,35
1601,65
1602,26
1603,56
1604,27
1605,37
1606,54
1607,52
1608,37
1609,62
1610,40
1611,32
1612,59
1613,47
1614,46
1615,56
1616,60
1617,63
1618,64
1619,43
1620,32
1621,22
1622,59
1623,60
1624,29
1625,30
1626,51
1627,40
1628,23
1629,43
1630,46
1631,49
1632,63
1633,63
1634,59
1635,32
1636,39
1637,61
1638,61
1639,64
1640,66
1641,67
1642,52
1643,28
1644,63
1645,26
1646,32
1647,55
1648,28
1649,28
1650,31
1651,47
1652,42
1653,40
1654,51
1655,63
1656,29
1657,64
1658,56
1659,49
1660,49
1661,29
1662,55
1663,54
1664,42
1665,58
1666,42
1667,28
1668,63
1669,35
1670,52
1671,29
1672,23
1673,49
1674,55
1675,50
1676,59
1677,39
1678,48
1679,42
1680,62
1681,38
1682,37
1683,24
1684,43
1685,22
1686,55
1687,39
1688,61
1689,44
1690,34
1691,28
1692,36
1693,33
1694,23
1695,41
1696,46
1697,29
1698,25
1699,47
1700,53
1701,23
1702,27
1703,48
1704,36
1705,39
1706,38
1707,51
1708,27
1709,21
1710,34
1711,49
1712,30
1713,23
1714,37
1715,35
1716,44
1717,35
1718,41
1719,41
1720,54
1721,32
1722,30
1723,51
1724,49
1725,46
1726,52
1727,52
1728,56
1729,57
1730,40
1731,24
1732,42
1733,39
1734,31
1735,47
1736,50
1737,41
1738,38
1739,28
1740,31
1741,29
1742,40
1743,32
1744,43
1745,45
1746,55
1747,51
1748,51
1749,37
1750,40
1751,29
1752,22
1753,52
1754,51
1755,44
1756,58
1757,63
1758,36
1759,21
1760,50
1761,25
1762,49
1763,60
1764,58
1765,27
1766,52
1767,22
1768,37
1769,39
1770,40
1771,50
1772,37
1773,25
1774,50
1775,25
1776,47
1777,43
1778,52
1779,31
1780,42
1781,43
1782,35
1783,59
1784,32
1785,24
1786,43
1787,49
1788,50
1789,32
1790,44
1791,32
1792,47
1793,31
1794,48
1795,38
1796,59
1797,34
1798,34
1799,45
1800,36
1801,41
1802,43
1803,34
1804,44
1805,49
1806,39
1807,41
1808,47
1809,43
1810,58
1811,37
1812,58
1813,47
1814,45
1815,58
1816,26
1817,39
1818,45
1819,27
1820,47
1821,46
1822,49
1823,49
1824,35
1825,27
1826,61
1827,41
1828,56
1829,43
1830,53
1831,42
1832,61
1833,60
1834,44
1835,40
1836,48
1837,37
1838,35
1839,25
1840,47
1841,41
1842,43
1843,49
1844,24
1845,65
1846,65
1847,42
1848,54
1849,33
1850,46
1851,36
1852,27
1853,48
1854,56
1855,51
1856,42
1857,29
1858,36
1859,37
1860,58
1861,50
1862,35
1863,56
1864,48
1865,39
1866,53
1867,65
1868,57
1869,38
1870,34
1871,55
1872,28
1873,43
1874,52
1875,50
1876,56
1877,51
1878,32
1879,34
1880,45
1881,42
1882,36
1883,33
1884,50
1885,32
1886,51
1887,26
1888,35
1889,51
1890,58
1891,46
1892,36
1893,35
1894,43
1895,34
1896,40
1897,41
1898,37
1899,30
1900,57
1901,22
1902,51
1903,29
1904,32
1905,44
1906,62
1907,36
1908,45
1909,36
1910,32
1911,29
1912,41
1913,58
1914,30
1915,46
1916,37
1917,39
1918,25
1919,27
1920,53
1921,36
1922,33
1923,52
1924,31
1925,40
1926,49
1927,61
1928,32
1929,32
1930,27
1931,51
1932,22
1933,40
1934,35
1935,61
1936,63
1937,42
1938,64
1939,51
1940,27
1941,26
1942,34
1943,66
1944,28
1945,26
1946,30
1947,25
1948,57
1949,47
1950,28
1951,65
1952,27
1953,45
1954,57
1955,58
1956,58
1957,27
1958,54
1959,45
1960,57
1961,31
1962,33
1963,49
1964,67
1965,25
1966,54
1967,57
1968,62
1969,48
1970,39
1971,59
1972,34
1973,47
1974,42
1975,61
1976,67
1977,37
1978,64
1979,43
1980,60
1981,62
1982,52
1983,21
1984,28
1985,39
1986,58
1987,26
1988,42
1989,32
1990,65
1991,59
1992,43
1993,41
1994,47
1995,59
1996,38
1997,40
1998,27
1999,43
2000,48
2001,51
2002,30
2003,33
2004,33
2005,35
2006,37
2007,50
2008,68
2009,27
2010,61
2011,41
2012,57
2013,28
2014,63
2015,34
2016,47
2017,36
2018,21
2019,43
2020,39
2021,31
2022,39
2023,37
2024,42
2025,49
2026,28
2027,52
2028,36
2029,60
2030,27
2031,44
2032,51
2033,41
2034,39
2035,62
2036,41
2037,59
2038,43
2039,32
2040,40
2041,36
2042,45
2043,55
2044,43
2045,47
2046,49
2047,31
2048,33
2049,43
2050,34
2051,45
2052,37
2053,30
2054,30
2055,23
2056,61
2057,42
2058,46
2059,63
2060,45
2061,31
2062,52
2063,65
2064,68
2065,35
2066,29
2067,35
2068,57
2069,61
2070,37
2071,31
2072,57
2073,64
2074,54
2075,53
2076,30
2077,40
2078,46
2079,53
2080,38
2081,28
2082,27
2083,39
2084,43
2085,60
2086,33
2087,43
2088,35
2089,54
2090,56
2091,67
2092,40
2093,57
2094,43
2095,58
2096,62
2097,48
2098,61
2099,63
2100,37
2101,62
2102,25
2103,54
2104,48
2105,47
2106,57
2107,27
2108,30
2109,45
2110,42
2111,32
2112,63
2113,61
2114,27
2115,62
2116,47
2117,51
2118,42
2119,27
2120,34
2121,38
2122,48
2123,36
2124,57
2125,30
2126,60
2127,23
2128,52
2129,22
2130,51
2131,39
2132,46
2133,28
2134,43
2135,27
2136,44
2137,24
2138,35
2139,31
2140,33
2141,40
2142,57
2143,48
2144,51
2145,67
2146,37
2147,41
2148,43
2149,54
2150,50
2151,45
2152,32
2153,27
2154,44
2155,40
2156,46
2157,24
2158,61
2159,54
2160,54
2161,56
2162,60
2163,30
2164,49
2165,33
2166,38
2167,41
2168,48
2169,59
2170,52
2171,43
2172,59
2173,41
2174,48
2175,40
2176,51
2177,30
2178,38
2179,55
2180,28
2181,59
2182,36
2183,47
2184,50
2185,31
2186,27
2187,52
2188,53
2189,28
2190,42
2191,34
2192,37
2193,62
2194,61
2195,27
2196,62
2197,67
2198,61
2199,30
2200,56
2201,43
2202,52
2203,36
2204,22
2205,34
2206,67
2207,53
2208,49
2209,61
2210,44
2211,49
2212,54
2213,52
2214,52
2215,55
2216,51
2217,48
2218,26
2219,24
2220,42
2221,45
2222,26
2223,38
2224,29
2225,59
2226,58
2227,36
2228,63
2229,34
2230,43
2231,41
2232,58
2233,37
2234,25
2235,35
2236,41
2237,35
2238,61
2239,31
2240,29
2241,29
2242,57
2243,40
2244,28
2245,60
2246,29
2247,63
2248,54
2249,67
2250,45
2251,30
2252,38
2253,49
2254,53
2255,27
2256,23
2257,45
2258,28
2259,59
2260,43
2261,56
2262,64
2263,23
2264,46
2265,56
2266,65
2267,39
2268,42
2269,33
2270,56
2271,36
2272,56
2273,59
2274,60
2275,40
2276,68
2277,50
2278,54
2279,32
2280,58
2281,23
2282,58
2283,37
2284,32
2285,60
2286,42
2287,31
2288,27
2289,25
2290,34
2291,56
2292,56
2293,54
2294,50
2295,43
2296,26
2297,53
2298,29
2299,60
2300,26
2301,45
2302,28
2303,40
2304,23
2305,36
2306,33
2307,22
2308,26
2309,42
2310,46
2311,49
2312,34
2313,27
2314,47
2315,51
2316,62
2317,64
2318,53
2319,33
2320,42
2321,49
2322,58
2323,49
2324,40
2325,26
2326,64
2327,30
2328,44
2329,27
2330,29
2331,52
2332,49
2333,48
2334,59
2335,35
2336,62
2337,51
2338,59
2339,48
2340,37
2341,38
2342,24
2343,41
2344,23
2345,28
2346,46
2347,61
2348,33
2349,66
2350,49
2351,49
2352,40
2353,43
2354,38
2355,38
2356,31
2357,32
2358,41
2359,39
2360,54
2361,58
2362,31
2363,44
2364,67
2365,37
2366,29
2367,31
2368,31
2369,37
2370,58
2371,39
2372,37
2373,66
2374,58
2375,66
2376,50
2377,48
2378,27
2379,57
2380,42
2381,37
2382,59
2383,38
2384,37
2385,52
2386,33
2387,35
2388,59
2389,51
2390,58
2391,54
2392,45
2393,50
2394,40
2395,38
2396,44
2397,42
2398,56
2399,52
2400,39
2401,57
2402,36
2403,56
2404,54
2405,53
2406,64
2407,60
2408,38
2409,34
2410,54
2411,60
2412,48
2413,28
2414,43
2415,38
2416,54
2417,31
2418,32
2419,29
2420,57
2421,60
2422,43
2423,44
2424,66
2425,57
2426,56
2427,27
2428,27
2429,55
2430,30
2431,24
2432,28
2433,60
2434,34
2435,47
2436,52
2437,61
2438,26
2439,45
2440,61
2441,27
2442,27
2443,49
2444,21
2445,54
2446,67
2447,21
2448,41
2449,27
2450,48
2451,49
2452,39
2453,42
2454,38
2455,49
2456,49
2457,31
2458,42
2459,50
2460,42
2461,32
2462,61
2463,40
2464,34
2465,55
2466,24
2467,36
2468,55
2469,53
2470,37
2471,24
2472,49
2473,35
2474,67
2475,37
2476,31
2477,63
2478,36
2479,57
2480,51
2481,39
2482,54
2483,50
2484,40
2485,53
2486,28
2487,26
2488,63
2489,39
2490,28
2491,42
2492,24
2493,32
2494,63
2495,22
2496,43
2497,55
2498,53
2499,34
2500,32
2501,58
2502,45
2503,45
2504,51
2505,50
2506,67
2507,38
2508,52
2509,48
2510,33
2511,55
2512,37
2513,38
2514,29
2515,45
2516,51
2517,24
2518,30
2519,57
2520,23
2521,36
2522,62
2523,62
2524,68
2525,45
2526,59
2527,36
2528,44
2529,61
2530,29
2531,51
2532,61
2533,38
2534,21
2535,41
2536,56
2537,42
2538,56
2539,56
2540,43
2541,29
2542,28
2543,43
2544,30
2545,45
2546,55
2547,39
2548,40
2549,60
2550,46
2551,33
2552,31
2553,53
2554,38
2555,25
2556,24
2557,66
2558,29
2559,40
2560,54
2561,61
2562,61
2563,24
2564,41
2565,59
2566,61
2567,53
2568,63
2569,42
2570,36
2571,39
2572,36
2573,46
2574,34
2575,32
2576,56
2577,22
2578,37
2579,58
2580,41
2581,28
2582,62
2583,40
2584,38
2585,62
2586,33
2587,42
2588,53
2589,57
2590,27
2591,33
2592,62
2593,42
2594,31
2595,52
2596,38
2597,49
2598,39
2599,40
2600,64
2601,39
2602,67
2603,62
2604,48
2605,35
2606,38
2607,66
2608,32
2609,65
2610,63
2611,45
2612,29
2613,41
2614,51
2615,50
2616,41
2617,43
2618,40
2619,31
2620,32
2621,39
2622,32
2623,47
2624,29
2625,24
2626,39
2627,58
2628,62
2629,61
2630,38
2631,54
2632,44
2633,57
2634,35
2635,35
2636,42
2637,33
2638,26
2639,41
2640,31
2641,34
2642,48
2643,46
2644,39
2645,30
2646,62
2647,40
2648,29
2649,66
2650,40
2651,33
2652,39
2653,32
2654,51
2655,38
2656,23
2657,33
2658,36
2659,62
2660,26
2661,41
2662,32
2663,56
2664,40
2665,57
2666,34
2667,56
2668,37
2669,45
2670,65
2671,31
2672,34
2673,44
2674,41
2675,56
2676,45
2677,60
2678,63
2679,58
2680,57
2681,62
2682,49
2683,63
2684,34
2685,44
2686,33
2687,52
2688,43
2689,63
2690,28
2691,28
2692,54
2693,64
2694,48
2695,27
2696,61
2697,37
2698,60
2699,48
2700,45
2701,48
2702,33
2703,48
2704,54
2705,45
2706,45
2707,39
2708,50
2709,39
2710,36
2711,43
2712,29
2713,40
2714,28
2715,31
2716,56
2717,56
2718,47
2719,30
2720,51
2721,34
2722,44
2723,40
2724,29
2725,49
2726,59
2727,58
2728,44
2729,48
2730,67
2731,42
2732,47
2733,41
2734,51
2735,55
2736,34
2737,41
2738,39
2739,43
2740,45
2741,63
2742,57
2743,32
2744,53
2745,31
2746,41
2747,63
2748,31
2749,44
2750,46
2751,44
2752,62
2753,45
2754,27
2755,50
2756,29
2757,31
2758,30
2759,59
2760,52
2761,64
2762,60
2763,57
2764,63
2765,36
2766,47
2767,64
2768,30
2769,26
2770,47
2771,63
2772,26
2773,60
2774,29
2775,38
2776,33
2777,31
2778,28
2779,43
2780,33
2781,37
2782,29
2783,26
2784,26
2785,31
2786,59
2787,51
2788,54
2789,52
2790,54
2791,42
2792,34
2793,30
2794,43
2795,52
2796,34
2797,42
2798,58
2799,37
2800,43
2801,35
2802,65
2803,58
2804,64
2805,29
2806,63
2807,49
2808,52
2809,59
2810,61
2811,46
2812,44
2813,58
2814,39
2815,40
2816,41
2817,33
2818,55
2819,38
2820,41
2821,41
2822,54
2823,42
2824,45
2825,37
2826,60
2827,55
2828,42
2829,60
2830,43
2831,40
2832,38
2833,39
2834,31
2835,27
2836,48
2837,27
2838,58
2839,40
2840,50
2841,41
2842,50
2843,35
2844,51
2845,52
2846,64
2847,44
2848,38
2849,32
2850,61
2851,61
2852,49
2853,32
2854,59
2855,37
2856,63
2857,54
2858,28
2859,64
2860,47
2861,60
2862,40
2863,41
2864,23
2865,55
2866,61
2867,32
2868,46
2869,37
2870,26
2871,30
2872,62
2873,48
2874,44
2875,54
2876,58
2877,41
2878,42
2879,23
2880,35
2881,59
2882,35
2883,22
2884,29
2885,51
2886,53
2887,43
2888,34
2889,60
2890,57
2891,62
2892,38
2893,53
2894,59
2895,48
2896,47
2897,27
2898,58
2899,51
2900,61
2901,47
2902,47
2903,29
2904,56
2905,66
2906,55
2907,63
2908,53
2909,54
2910,56
2911,38
2912,47
2913,63
2914,39
2915,21
2916,65
2917,47
2918,43
2919,39
2920,61
2921,35
2922,31
2923,25
2924,55
2925,50
2926,45
2927,45
2928,25
2929,23
2930,57
2931,60
2932,36
2933,47
2934,33
2935,44
2936,31
2937,49
2938,43
2939,53
2940,61
2941,42
2942,53
2943,50
2944,45
2945,25
2946,53
2947,50
2948,30
2949,27
2950,41
2951,63
2952,34
2953,34
2954,47
2955,22
2956,53
2957,46
2958,35
2959,66
2960,54
2961,28
2962,40
2963,51
2964,22
2965,27
2966,41
2967,63
2968,53
2969,28
2970,44
2971,62
2972,58
2973,44
2974,52
2975,34
2976,41
2977,30
2978,51
2979,31
2980,32
2981,51
2982,27
2983,32
2984,58
2985,34
2986,46
2987,34
2988,36
2989,53
2990,39
2991,43
2992,56
2993,53
2994,33
2995,25
2996,53
2997,27
